all|all
elevated|elevated serum acid phosphatase
acid|acid phosphatase elevated
hyperuricosuria|hyperuricosuria
glutaric|glutaric aciduria
glutaricaciduria|glutaricaciduria
increased|increased serum 1,25-dihydroxyvitamin d3
cystathioninuria|cystathioninuria
increased|increased circulating acth level
increased|increased plasma acth
elevated|elevated alkaline phosphatase
greatly|greatly elevated alkaline phosphatase
high|high serum alkaline phosphatase
hyperphosphatasia|hyperphosphatasia
increased|increased alkaline phosphatase
increased|increased serum alkaline phosphatase
progressive|progressive axonal neuropathy with demyelinization on electroneurography
hyposthenuria|hyposthenuria
hyperoxaluria|hyperoxaluria
abnormal|abnormal isoelectric focusing of serum transferrin
abnormal|abnormal isoelectric focusing of serum transferring
abnormal|abnormal transferrin isoelectric focusing
4-hydroxyphenylpyruvic|4-hydroxyphenylpyruvic aciduria
hydroxyphenylpyruvic|hydroxyphenylpyruvic aciduria
fasting|fasting hypoglycemia
elevated|elevated urinary delta-aminolevulinic acid
hypothalamic|hypothalamic gonadotropin-releasing hormone (gnrh) deficiency
elevated|elevated circulating parathyroid hormone (pth) level
elevated|elevated serum parathyroid hormone
elevated|elevated serum parathyroid hormone level
elevated|elevated serum pth
increased|increased serum parathyroid hormone
increased|increased urinary taurine
carnosinuria|carnosinuria
dibasicaminoaciduria|dibasicaminoaciduria
abnormality|abnormality of the acetabulum
acetabular|acetabular abnormality
abnormality|abnormality of the pubic bones
hypoplastic|hypoplastic pubic bones
hypoplastic|hypoplastic pubic bone
hypoplastic|hypoplastic pubis
abnormality|abnormality of the ischium
abnormality|abnormality of the ischial bones
hypoplastic|hypoplastic ischia
hypoplastic|hypoplastic ischial bones
hypoplastic|hypoplastic ischii
hypoplastic|hypoplastic ischium
squared|squared iliac bones
square|square iliac bones
squaring|squaring of iliac bones
protrusio|protrusio acetabuli
protrusio|protrusio acetabulae
flat|flat acetabular roof
flat|flat acetabular roofs
flattened|flattened acetabular roof
horizontal|horizontal acetabulae
horizontal|horizontal acetabular roof
horizontal|horizontal acetabular roofs
shallow|shallow acetabular fossae
shallow|shallow acetabula
shallow|shallow acetabulae
shallow|shallow acetabular fossa
shallow|shallow acetabulum
wide|wide pubic symphysis
decreased|decreased hip abduction
limited|limited hip abduction
small|small sacroiliac notches
shortened|shortened sacroiliac notches
inverted|inverted nipples
invaginated|invaginated nipples
breast|breast hypoplasia
underdeveloped|underdeveloped breasts
long|long nose
notched|notched nasal alae
allergic|allergic rhinitis
short|short nasal bridge
short|short nose
hypoplastic|hypoplastic nose
nasal|nasal hypoplasia
myopathy|myopathy
myopathic|myopathic changes
decreased|decreased muscle mass
underdeveloped|underdeveloped muscles
ragged-red|ragged-red muscle fibers
ragged-red|ragged-red fibers
rhabdomyolysis|rhabdomyolysis
amyotrophy|amyotrophy
amyotrophy|amyotrophy involving the extremities
muscle|muscle atrophy
muscle|muscle atrophy, neurogenic
muscle|muscle hypotrophy
muscle|muscle wasting
muscular|muscular atrophy
neurogenic|neurogenic muscle atrophy
neurogenic|neurogenic muscle atrophy, especially in the lower limbs
neurogenic|neurogenic muscular atrophy
skeletal|skeletal muscle atrophy
negative|negative nitroblue tetrazolium (nbt) reduction test
intracellular|intracellular accumulation of autofluorescent lipopigment storage material
curvilinear|curvilinear intracellular accumulation of autofluorescent lipopigment storage material
'curvilinear|'curvilinear profiles' ultrastructurally
'curvilinear|'curvilinear profiles' ultrastructurally in cells
curvilinear|curvilinear profiles ultrastructurally
intracellular|intracellular curvilinear profiles on ultrastructural analysis
decreased|decreased activity of nadph oxidase
arterial|arterial calcification
fingerprint|fingerprint intracellular accumulation of autofluorescent lipopigment storage material
'fingerprint|'fingerprint profiles' ultrastructurally in cells
fingerprint|fingerprint profiles ultrastructurally
decreased|decreased pyruvate carboxylase activity
decreased|decreased methylmalonyl-coa mutase activity
decreased|decreased methylmalonyl-coa mutase (mut, 609058) activity
increased|increased ige level
elevated|elevated immunoglobulin e
elevated|elevated serum ige
high|high immunoglobulin e
deficient|deficient excision of uv-induced pyrimidine dimers in dna
prolonged|prolonged g2 phase of cell cycle
dicarboxylic|dicarboxylic aciduria
generalized|generalized amyloid deposition
hyperglutaminemia|hyperglutaminemia
high|high plasma glutamine
oroticaciduria|oroticaciduria
ethylmalonic|ethylmalonic aciduria
abnormality|abnormality of chromosome stability
chromosome|chromosome breakage
high|high frequency of chromosome breaks in lymphocytes
increased|increased chromosomal breakage
increased|increased chromosomal breakage rate
increased|increased chromosome breakage
multiple|multiple chromosomal breaks
tendency|tendency to chromosomal breakage
chromosomal|chromosomal breakage induced by crosslinking agents
chromosomal|chromosomal breakage induced by diepoxybutane
chromosomal|chromosomal breakage induced by mitomycin c
decreased|decreased methylcobalamin
methylcobalamin|methylcobalamin deficiency
increased|increased cellular sensitivity to uv light
reduced|reduced factor v activity
rectilinear|rectilinear intracellular accumulation of autofluorescent lipopigment storage material
rectilinear|rectilinear profiles ultrastructurally
hypernatremia|hypernatremia
hypertyrosinemia|hypertyrosinemia
tyrosinemia|tyrosinemia
mitochondrial|mitochondrial malic enzyme reduced
decreased|decreased mitochondrial malic enzyme
hypoalphalipoproteinemia|hypoalphalipoproteinemia
decreased|decreased circulating high-density lipoprotein cholesterol
decreased|decreased hdl cholesterol
low|low hdl-cholesterol
decreased|decreased plasma carnitine
hypermethioninemia|hypermethioninemia
methioninemia|methioninemia
elevated|elevated serum creatine phosphokinase
elevated|elevated blood creatine phosphokinase
elevated|elevated circulating creatine phosphokinase
elevated|elevated creatine kinase
elevated|elevated serum cpk
elevated|elevated serum creatine kinase
high|high serum creatine kinase
increased|increased creatine kinase
increased|increased creatine phosphokinase
increased|increased creatine phosphokinase (cpk)
increased|increased serum ck
increased|increased serum creatine kinase
increased|increased serum creatine phosphokinase
increased|increased igg level
increased|increased levels of igg
hyperpepsinogenemia|hyperpepsinogenemia i
phosphoethanolaminuria|phosphoethanolaminuria
increased|increased phosphoribosylpyrophosphate (prpp) synthetase
genital|genital hypoplasia
hypogenitalism|hypogenitalism
small|small genitalia
penile|penile hypospadias
prominent|prominent scrotal raphe
prominent|prominent perineal raphe
overgrowth|overgrowth of external genitalia
gonadal|gonadal tissue inappropriate for external genitalia or chromosomal sex
genital|genital ulcers
aplasia|aplasia of the vagina
absent|absent vagina
congenital|congenital absence of the vagina
male|male infertility
anteriorly|anteriorly displaced genitalia
abnormality|abnormality of dna repair
abnormality|abnormality of the coagulation cascade
coagulopathy|coagulopathy
glyoxalase|glyoxalase deficiency
elevated|elevated serum creatinine
elevated|elevated creatinine
increased|increased creatinine
increased|increased serum creatinine
hydroxyprolinemia|hydroxyprolinemia
increased|increased iga level
elevated|elevated iga
elevated|elevated serum iga
increased|increased levels of iga
increased|increased serum iga
smooth|smooth muscle antibody positivity
smooth|smooth muscle antibody positive
deficiency|deficiency of n-acetylglucosamine-1-phosphotransferase
neonatal|neonatal hyperbilirubinemia
hyperbilirubinemia,|hyperbilirubinemia, neonatal
reduced|reduced orotidine 5-prime phosphate decarboxylase activity
argininuria|argininuria
sudanophilic|sudanophilic leukodystrophy
abdominal|abdominal distention
abdominal|abdominal distension
abdominal|abdominal swelling
distended|distended abdomen
visceromegaly|visceromegaly
abnormality|abnormality of the hip bone
abnormality|abnormality of the hips
hip|hip contracture
flexion|flexion contracture of hips
flexion|flexion contractures of hips
hip|hip contractures
hip|hip flexion contractures
hypoplastic|hypoplastic acetabulae
acetabular|acetabular hypoplasia
hypoplastic|hypoplastic acetabula
narrow|narrow pelvis
pelvic|pelvic exostoses
constricted|constricted iliac wings
square|square pelvis
coxa|coxa magna
increased|increased serum ferritin
elevated|elevated serum ferritin
increased|increased ferritin
increased|increased serum ferritin level
low|low alkaline phosphatase
decreased|decreased serum alkaline phosphatase
cystathioninemia|cystathioninemia
abnormality|abnormality of mitochondrial metabolism
mitochondrial|mitochondrial propionyl-coa carboxylase (pcc) defect
decreased|decreased serum leptin
impaired|impaired fsh and lh secretion
hyperthreoninuria|hyperthreoninuria
hyperlysinuria|hyperlysinuria
lysinuria|lysinuria
spina|spina bifida occulta
ovoid|ovoid vertebral bodies
oval|oval vertebral bodies
ovoid|ovoid vertebrae
ovoid-shaped|ovoid-shaped vertebral bodies
irregular|irregular vertebral endplates
end-plate|end-plate irregularities
endplate|endplate irregularities
endplate|endplate irregularity
irregular|irregular end plates
irregular|irregular endplates
irregular|irregular vertebral plates
vertebral|vertebral endplate irregularity
spondylolisthesis|spondylolisthesis
spondylolithesis|spondylolithesis
spondylolysis|spondylolysis
block|block vertebrae
spinal|spinal rigidity
rigid|rigid spine
hyperlordosis|hyperlordosis
lordosis|lordosis
cervical|cervical subluxation
ovoid|ovoid thoracolumbar vertebrae
ovoid|ovoid thoracic and lumbar vertebrae
abnormality|abnormality of the odontoid process
abnormal|abnormal odontoid peg
abnormal|abnormal odontoid process
hypoplasia|hypoplasia of the odontoid process
hypoplastic|hypoplastic odontoid process
odontoid|odontoid hypoplasia
small|small odontoid process
abnormal|abnormal form of the vertebral bodies
abnormally-shaped|abnormally-shaped vertebrae
round|round vertebral bodies
butterfly|butterfly vertebrae
schmetterlingswirbel|schmetterlingswirbel
cervical|cervical spine hypermobility
abnormality|abnormality of the cervical spine
abnormal|abnormal cervical spine
abnormality|abnormality of the cervical vertebrae
cervical|cervical spine abnormalities
cervical|cervical vertebral abnormalities
c1-c2|c1-c2 subluxation
biconcave|biconcave flattened vertebrae
progressive|progressive muscle weakness
muscle|muscle weakness, progressive
progressive|progressive muscular weakness
generalized|generalized muscle weakness
generalized|generalized weakness
muscle|muscle weakness, diffuse
muscle|muscle weakness, generalized
limb-girdle|limb-girdle muscle weakness
limb|limb girdle weakness
muscle|muscle weakness, limb-girdle
muscular|muscular weakness, limb-girdle
myalgia|myalgia
muscle|muscle pain
axial|axial muscle weakness
abnormal|abnormal hair laboratory examination
hair|hair shafts flattened at irregular intervals and twisted through 180 degrees about their axes
abnormal|abnormal bone structure
absent|absent primary metaphyseal spongiosa
increased|increased serum beta-hexosaminidase
elevated|elevated circulating catecholamine level
low|low gonadotropins (secondary hypogonadism)
gonadotropin|gonadotropin insufficiency
abnormal|abnormal enchondral ossification
reduced|reduced prothrombin consumption
poor|poor prothrombin consumption
focal|focal necrosis of right ventricular muscle cells
pyrimidine-responsive|pyrimidine-responsive megaloblastic anemia
anemia|anemia corrected by uridylic acid and cytidylic acid
abnormal|abnormal dermatological laboratory findings
junctional|junctional split
subepidermal|subepidermal blistering with cleavage in the lamina lucida
glutathione|glutathione synthetase deficiency
3-methylglutaric|3-methylglutaric aciduria
3-methylglutaconicaciduria|3-methylglutaconicaciduria
3-methylglutaricaciduria|3-methylglutaricaciduria
elevated|elevated urinary norepinephrine
impaired|impaired lymphocyte transformation with phytohemagglutinin
hyperalaninemia|hyperalaninemia
increased|increased blood alanine
increased|increased serum alanine
low|low cholesterol esterification rates
decreased|decreased circulating renin level
decreased|decreased plasma renin activity
low|low plasma renin activity
suppressed|suppressed plasma renin activity
endopolyploidy|endopolyploidy on chromosome studies of bone marrow
propionyl-coa|propionyl-coa carboxylase deficiency
